ID,Node,Source,Target,Relationship,X,Y,CycleY,Category,Order,Family,Common Names,Weight
1,Mammal,Mammal,Artiodactyla,Mammal-->Artiodactyla,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
1,Artiodactyla,Mammal,Artiodactyla,Mammal-->Artiodactyla,0.615991511465,0.600115819734,0.600115819734,0,Artiodactyla,0,0,100
2,Artiodactyla,Artiodactyla,Antilocapridae,Artiodactyla-->Antilocapridae,0.615991511465,0.600115819734,0.600115819734,0,Artiodactyla,0,0,100
2,Antilocapridae,Artiodactyla,Antilocapridae,Artiodactyla-->Antilocapridae,0.682770518032,0.753892302268,0.753892302268,0,0,Antilocapridae,0,50
3,Antilocapridae,Antilocapridae,Pronghorn,Antilocapridae-->Pronghorn,0.682770518032,0.753892302268,0.753892302268,0,0,Antilocapridae,0,50
3,Pronghorn,Antilocapridae,Pronghorn,Antilocapridae-->Pronghorn,0.754142176419,0.967880605567,0.967880605567,0,0,0,Pronghorn,20
4,Mammal,Mammal,Artiodactyla,Mammal-->Artiodactyla,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
4,Artiodactyla,Mammal,Artiodactyla,Mammal-->Artiodactyla,0.615991511465,0.600115819734,0.600115819734,0,Artiodactyla,0,0,100
5,Artiodactyla,Artiodactyla,Bovidae,Artiodactyla-->Bovidae,0.615991511465,0.600115819734,0.600115819734,0,Artiodactyla,0,0,100
5,Bovidae,Artiodactyla,Bovidae,Artiodactyla-->Bovidae,0.66981812004,0.402194496964,0.402194496964,0,0,Bovidae,0,50
6,Bovidae,Bovidae,Bighorn Sheep,Bovidae-->Bighorn Sheep,0.66981812004,0.402194496964,0.402194496964,0,0,Bovidae,0,50
6,Bighorn Sheep,Bovidae,Bighorn Sheep,Bovidae-->Bighorn Sheep,0.740757436778,0.190151028762,0.190151028762,0,0,0,Bighorn Sheep,20
7,Mammal,Mammal,Artiodactyla,Mammal-->Artiodactyla,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
7,Artiodactyla,Mammal,Artiodactyla,Mammal-->Artiodactyla,0.615991511465,0.600115819734,0.600115819734,0,Artiodactyla,0,0,100
8,Artiodactyla,Artiodactyla,Cervidae,Artiodactyla-->Cervidae,0.615991511465,0.600115819734,0.600115819734,0,Artiodactyla,0,0,100
8,Cervidae,Artiodactyla,Cervidae,Artiodactyla-->Cervidae,0.571574123942,0.758596084597,0.758596084597,0,0,Cervidae,0,50
9,Cervidae,Cervidae,Elk,Cervidae-->Elk,0.571574123942,0.758596084597,0.758596084597,0,0,Cervidae,0,50
9,Elk,Cervidae,Elk,Cervidae-->Elk,0.478950014795,0.888710267444,0.888710267444,0,0,0,Elk,20
10,Mammal,Mammal,Carnivora,Mammal-->Carnivora,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
10,Carnivora,Mammal,Carnivora,Mammal-->Carnivora,0.59136134181,0.462575910636,0.462575910636,0,Carnivora,0,0,100
11,Carnivora,Carnivora,Canidae,Carnivora-->Canidae,0.59136134181,0.462575910636,0.462575910636,0,Carnivora,0,0,100
11,Canidae,Carnivora,Canidae,Carnivora-->Canidae,0.645615905947,0.305172535864,0.305172535864,0,0,Canidae,0,50
12,Canidae,Canidae,Coyote,Canidae-->Coyote,0.645615905947,0.305172535864,0.305172535864,0,0,Canidae,0,50
12,Coyote,Canidae,Coyote,Canidae-->Coyote,0.740549288379,0.235442911064,0.235442911064,0,0,0,Coyote,20
13,Mammal,Mammal,Carnivora,Mammal-->Carnivora,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
13,Carnivora,Mammal,Carnivora,Mammal-->Carnivora,0.59136134181,0.462575910636,0.462575910636,0,Carnivora,0,0,100
14,Carnivora,Carnivora,Canidae,Carnivora-->Canidae,0.59136134181,0.462575910636,0.462575910636,0,Carnivora,0,0,100
14,Canidae,Carnivora,Canidae,Carnivora-->Canidae,0.645615905947,0.305172535864,0.305172535864,0,0,Canidae,0,50
15,Canidae,Canidae,Common Gray Fox,Canidae-->Common Gray Fox,0.645615905947,0.305172535864,0.305172535864,0,0,Canidae,0,50
15,Common Gray Fox,Canidae,Common Gray Fox,Canidae-->Common Gray Fox,0.603735913784,0.195667937026,0.195667937026,0,0,0,Common Gray Fox,20
16,Mammal,Mammal,Carnivora,Mammal-->Carnivora,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
16,Carnivora,Mammal,Carnivora,Mammal-->Carnivora,0.59136134181,0.462575910636,0.462575910636,0,Carnivora,0,0,100
17,Carnivora,Carnivora,Canidae,Carnivora-->Canidae,0.59136134181,0.462575910636,0.462575910636,0,Carnivora,0,0,100
17,Canidae,Carnivora,Canidae,Carnivora-->Canidae,0.645615905947,0.305172535864,0.305172535864,0,0,Canidae,0,50
18,Canidae,Canidae,Red Fox,Canidae-->Red Fox,0.645615905947,0.305172535864,0.305172535864,0,0,Canidae,0,50
18,Red Fox,Canidae,Red Fox,Canidae-->Red Fox,0.656269449836,0.143277498581,0.143277498581,0,0,0,Red Fox,20
19,Mammal,Mammal,Chiroptera,Mammal-->Chiroptera,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
19,Chiroptera,Mammal,Chiroptera,Mammal-->Chiroptera,0.424932522504,0.526843583552,0.526843583552,0,Chiroptera,0,0,100
20,Chiroptera,Chiroptera,Molossidae,Chiroptera-->Molossidae,0.424932522504,0.526843583552,0.526843583552,0,Chiroptera,0,0,100
20,Molossidae,Chiroptera,Molossidae,Chiroptera-->Molossidae,0.302711558449,0.514943354372,0.514943354372,0,0,Molossidae,0,50
21,Molossidae,Molossidae,Big Free-tailed Bat,Molossidae-->Big Free-tailed Bat,0.302711558449,0.514943354372,0.514943354372,0,0,Molossidae,0,50
21,Big Free-tailed Bat,Molossidae,Big Free-tailed Bat,Molossidae-->Big Free-tailed Bat,0.182305105966,0.519173206523,0.519173206523,0,0,0,Big Free-tailed Bat,20
22,Mammal,Mammal,Chiroptera,Mammal-->Chiroptera,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
22,Chiroptera,Mammal,Chiroptera,Mammal-->Chiroptera,0.424932522504,0.526843583552,0.526843583552,0,Chiroptera,0,0,100
23,Chiroptera,Chiroptera,Molossidae,Chiroptera-->Molossidae,0.424932522504,0.526843583552,0.526843583552,0,Chiroptera,0,0,100
23,Molossidae,Chiroptera,Molossidae,Chiroptera-->Molossidae,0.302711558449,0.514943354372,0.514943354372,0,0,Molossidae,0,50
24,Molossidae,Molossidae,Brazilian Free-tailed Bat,Molossidae-->Brazilian Free-tailed Bat,0.302711558449,0.514943354372,0.514943354372,0,0,Molossidae,0,50
24,Brazilian Free-tailed Bat,Molossidae,Brazilian Free-tailed Bat,Molossidae-->Brazilian Free-tailed Bat,0.373176028022,0.433847977586,0.433847977586,0,0,0,Brazilian Free-tailed Bat,20
25,Mammal,Mammal,Chiroptera,Mammal-->Chiroptera,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
25,Chiroptera,Mammal,Chiroptera,Mammal-->Chiroptera,0.424932522504,0.526843583552,0.526843583552,0,Chiroptera,0,0,100
26,Chiroptera,Chiroptera,Vespertilionidae,Chiroptera-->Vespertilionidae,0.424932522504,0.526843583552,0.526843583552,0,Chiroptera,0,0,100
26,Vespertilionidae,Chiroptera,Vespertilionidae,Chiroptera-->Vespertilionidae,0.301515945133,0.453841379661,0.453841379661,0,0,Vespertilionidae,0,50
27,Vespertilionidae,Vespertilionidae,Pallid Bat,Vespertilionidae-->Pallid Bat,0.301515945133,0.453841379661,0.453841379661,0,0,Vespertilionidae,0,50
27,Pallid Bat,Vespertilionidae,Pallid Bat,Vespertilionidae-->Pallid Bat,0.187660753259,0.418303738801,0.418303738801,0,0,0,Pallid Bat,20
28,Mammal,Mammal,Lagomorpha,Mammal-->Lagomorpha,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
28,Lagomorpha,Mammal,Lagomorpha,Mammal-->Lagomorpha,0.632333603302,0.677104557666,0.677104557666,0,Lagomorpha,0,0,100
29,Lagomorpha,Lagomorpha,Leporidae,Lagomorpha-->Leporidae,0.632333603302,0.677104557666,0.677104557666,0,Lagomorpha,0,0,100
29,Leporidae,Lagomorpha,Leporidae,Lagomorpha-->Leporidae,0.784386646066,0.809797796952,0.809797796952,0,0,Leporidae,0,50
30,Leporidae,Leporidae,Snowshoe Hare,Leporidae-->Snowshoe Hare,0.784386646066,0.809797796952,0.809797796952,0,0,Leporidae,0,50
30,Snowshoe Hare,Leporidae,Snowshoe Hare,Leporidae-->Snowshoe Hare,0.949774671368,0.776334273029,0.776334273029,0,0,0,Snowshoe Hare,20
31,Mammal,Mammal,Lagomorpha,Mammal-->Lagomorpha,0.559136080778,0.572728344563,0.572728344563,Mammal,0,0,0,200
31,Lagomorpha,Mammal,Lagomorpha,Mammal-->Lagomorpha,0.632333603302,0.677104557666,0.677104557666,0,Lagomorpha,0,0,100
32,Lagomorpha,Lagomorpha,Leporidae,Lagomorpha-->Leporidae,0.632333603302,0.677104557666,0.677104557666,0,Lagomorpha,0,0,100
32,Leporidae,Lagomorpha,Leporidae,Lagomorpha-->Leporidae,0.784386646066,0.809797796952,0.809797796952,0,0,Leporidae,0,50
33,Leporidae,Leporidae,White-tailed Jackrabbit,Leporidae-->White-tailed Jackrabbit,0.784386646066,0.809797796952,0.809797796952,0,0,Leporidae,0,50
