ID,Node,Source,Target,Relationship,X,Y,CycleY,Category,Order,Family,Common Names,Weight
22,Caprimulgiformes,Bird,Caprimulgiformes,Bird-->Caprimulgiformes,0.55406206924,0.571110510391,0.571110510391,0,Caprimulgiformes,0,0,100
23,Caprimulgiformes,Caprimulgiformes,Caprimulgidae,Caprimulgiformes-->Caprimulgidae,0.55406206924,0.571110510391,0.571110510391,0,Caprimulgiformes,0,0,100
23,Caprimulgidae,Caprimulgiformes,Caprimulgidae,Caprimulgiformes-->Caprimulgidae,0.649503270287,0.66288422761,0.66288422761,0,0,Caprimulgidae,0,50
24,Caprimulgidae,Caprimulgidae,Common Poorwill,Caprimulgidae-->Common Poorwill,0.649503270287,0.66288422761,0.66288422761,0,0,Caprimulgidae,0,50
24,Common Poorwill,Caprimulgidae,Common Poorwill,Caprimulgidae-->Common Poorwill,0.599275054625,0.860075876495,0.860075876495,0,0,0,Common Poorwill,20
25,Bird,Bird,Charadriiformes,Bird-->Charadriiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
25,Charadriiformes,Bird,Charadriiformes,Bird-->Charadriiformes,0.383333453766,0.470779812014,0.470779812014,0,Charadriiformes,0,0,100
26,Charadriiformes,Charadriiformes,Charadriidae,Charadriiformes-->Charadriidae,0.383333453766,0.470779812014,0.470779812014,0,Charadriiformes,0,0,100
26,Charadriidae,Charadriiformes,Charadriidae,Charadriiformes-->Charadriidae,0.409435570934,0.265506493409,0.265506493409,0,0,Charadriidae,0,50
27,Charadriidae,Charadriidae,Killdeer,Charadriidae-->Killdeer,0.409435570934,0.265506493409,0.265506493409,0,0,Charadriidae,0,50
27,Killdeer,Charadriidae,Killdeer,Charadriidae-->Killdeer,0.57552129228,0.0831958593451,0.0831958593451,0,0,0,Killdeer,20
28,Bird,Bird,Charadriiformes,Bird-->Charadriiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
28,Charadriiformes,Bird,Charadriiformes,Bird-->Charadriiformes,0.383333453766,0.470779812014,0.470779812014,0,Charadriiformes,0,0,100
29,Charadriiformes,Charadriiformes,Laridae,Charadriiformes-->Laridae,0.383333453766,0.470779812014,0.470779812014,0,Charadriiformes,0,0,100
29,Laridae,Charadriiformes,Laridae,Charadriiformes-->Laridae,0.377511188544,0.707544905765,0.707544905765,0,0,Laridae,0,50
30,Laridae,Laridae,California Gull,Laridae-->California Gull,0.377511188544,0.707544905765,0.707544905765,0,0,Laridae,0,50
30,California Gull,Laridae,California Gull,Laridae-->California Gull,0.518962090278,0.932897616719,0.932897616719,0,0,0,California Gull,20
31,Bird,Bird,Columbiformes,Bird-->Columbiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
31,Columbiformes,Bird,Columbiformes,Bird-->Columbiformes,0.307130799596,0.447881735457,0.447881735457,0,Columbiformes,0,0,100
32,Columbiformes,Columbiformes,Columbidae,Columbiformes-->Columbidae,0.307130799596,0.447881735457,0.447881735457,0,Columbiformes,0,0,100
32,Columbidae,Columbiformes,Columbidae,Columbiformes-->Columbidae,0.175652646628,0.396633670137,0.396633670137,0,0,Columbidae,0,50
33,Columbidae,Columbidae,Rock Dove,Columbidae-->Rock Dove,0.175652646628,0.396633670137,0.396633670137,0,0,Columbidae,0,50
33,Rock Dove,Columbidae,Rock Dove,Columbidae-->Rock Dove,0.246664358429,0.54106517484,0.54106517484,0,0,0,Rock Dove,20
34,Bird,Bird,Columbiformes,Bird-->Columbiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
34,Columbiformes,Bird,Columbiformes,Bird-->Columbiformes,0.307130799596,0.447881735457,0.447881735457,0,Columbiformes,0,0,100
35,Columbiformes,Columbiformes,Columbidae,Columbiformes-->Columbidae,0.307130799596,0.447881735457,0.447881735457,0,Columbiformes,0,0,100
35,Columbidae,Columbiformes,Columbidae,Columbiformes-->Columbidae,0.175652646628,0.396633670137,0.396633670137,0,0,Columbidae,0,50
36,Columbidae,Columbidae,Band-tailed Pigeon,Columbidae-->Band-tailed Pigeon,0.175652646628,0.396633670137,0.396633670137,0,0,Columbidae,0,50
36,Band-tailed Pigeon,Columbidae,Band-tailed Pigeon,Columbidae-->Band-tailed Pigeon,0.146905456107,0.31249760131,0.31249760131,0,0,0,Band-tailed Pigeon,20
37,Bird,Bird,Coraciiformes,Bird-->Coraciiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
37,Coraciiformes,Bird,Coraciiformes,Bird-->Coraciiformes,0.465113218817,0.339542764265,0.339542764265,0,Coraciiformes,0,0,100
38,Coraciiformes,Coraciiformes,Alcedinidae,Coraciiformes-->Alcedinidae,0.465113218817,0.339542764265,0.339542764265,0,Coraciiformes,0,0,100
38,Alcedinidae,Coraciiformes,Alcedinidae,Coraciiformes-->Alcedinidae,0.471089662627,0.175907800968,0.175907800968,0,0,Alcedinidae,0,50
39,Alcedinidae,Alcedinidae,Belted Kingfisher,Alcedinidae-->Belted Kingfisher,0.471089662627,0.175907800968,0.175907800968,0,0,Alcedinidae,0,50
